,0
412,Apoe
413,Apof
414,Apoh
415,Apol7a
416,Apol9a
417,Apol9b
418,Apom
419,Apon
420,Apoo
421,Apool
422,Apopt1
423,App
424,Appbp2
425,Appl1
426,Appl2
427,Aprt
428,Aptx
429,Aqp11
430,Aqp8
431,Aqp9
432,Aqr
433,Ar
434,Araf
435,Arap1
436,Arap2
437,Arcn1
438,Arel1
439,Arf1
440,Arf3
441,Arf4
442,Arf5
443,Arf6
444,Arfgap1
445,Arfgap2
446,Arfgap3
447,Arfgef1
448,Arfgef2
449,Arfip1
450,Arfrp1
451,Arg1
452,Arglu1
453,Arhgap1
454,Arhgap12
455,Arhgap17
456,Arhgap18
457,Arhgap21
458,Arhgap24
459,Arhgap26
460,Arhgap29
461,Arhgap35
462,Arhgap4
463,Arhgap42
464,Arhgap45
465,Arhgap5
466,Arhgap6
467,Arhgdia
468,Arhgef1
469,Arhgef10l
470,Arhgef11
471,Arhgef12
472,Arhgef18
473,Arhgef19
474,Arhgef26
475,Arhgef3
476,Arhgef37
477,Arhgef5
478,Arhgef7
479,Arid1a
480,Arid1b
481,Arid2
482,Arid4a
483,Arid4b
484,Arid5a
485,Arid5b
486,Arih1
487,Arih2
488,Arl1
489,Arl13b
490,Arl14ep
491,Arl3
492,Arl4a
493,Arl4d
494,Arl5a
495,Arl5b
496,Arl6ip1
497,Arl6ip4
498,Arl6ip5
499,Arl6ip6
500,Arl8a
501,Arl8b
502,Armc1
503,Armc10
504,Armc5
505,Armc8
506,Armc9
507,Armh3
508,Armt1
509,Arnt
510,Arntl
511,Arpc1a
512,Arpc1b
513,Arpc2
514,Arpc3
515,Arpc4
516,Arpc5
517,Arpc5l
518,Arpp19
519,Arrdc3
520,Arrdc4
521,Arsa
522,Arsb
523,Arsg
524,Arsk
525,As3mt
526,Asah1
527,Asah2
528,Asap1
529,Asap2
530,Asb13
531,Asb3
532,Asb7
533,Asb8
534,Ascc1
535,Ascc2
536,Ascc3
537,Asf1a
538,Asgr1
539,Asgr2
540,Ash1l
541,Ash2l
542,Asl
543,Asna1
544,Aspa
545,Aspdh
546,Aspg
547,Asph
548,Aspscr1
549,Asrgl1
550,Ass1
551,Asxl1
552,Asxl2
553,Atad1
554,Atad2b
555,Atad3a
556,Atat1
557,Atf1
558,Atf2
559,Atf3
560,Atf4
561,Atf5
562,Atf6
563,Atf6b
564,Atf7ip
565,Atg10
566,Atg101
567,Atg12
568,Atg13
569,Atg14
570,Atg16l1
571,Atg16l2
572,Atg2a
573,Atg2b
574,Atg3
575,Atg4a
576,Atg4b
577,Atg4c
578,Atg4d
579,Atg5
580,Atg7
581,Atic
582,Atl2
583,Atl3
584,Atmin
585,Atoh8
586,Atox1
587,Atp11b
588,Atp11c
589,Atp13a1
590,Atp13a2
591,Atp13a3
592,Atp1a1
593,Atp1b1
594,Atp1b3
595,Atp2a2
596,Atp2b1
597,Atp2b2
598,Atp2c1
599,Atp5a1
600,Atp5b
601,Atp5c1
602,Atp5d
603,Atp5e
604,Atp5f1
605,Atp5g1
606,Atp5g2
607,Atp5g3
608,Atp5h
609,Atp5j
610,Atp5j2
611,Atp5k
612,Atp5l
613,Atp5mpl
614,Atp5o
615,Atp5s
616,Atp6ap1
617,Atp6ap2
618,Atp6v0a1
619,Atp6v0a2
620,Atp6v0b
621,Atp6v0c
622,Atp6v0d1
623,Atp6v0d2
624,Atp6v0e
625,Atp6v1a
626,Atp6v1b2
627,Atp6v1c1
628,Atp6v1d
629,Atp6v1e1
630,Atp6v1f
631,Atp6v1g1
632,Atp6v1h
633,Atp7b
634,Atp8a2
635,Atp8b1
636,Atp9a
637,Atp9b
638,Atpaf2
639,Atpif1
640,Atraid
641,Atrip
642,Atrn
643,Atrnl1
644,Atrx
645,Atxn1
646,Atxn10
647,Atxn1l
648,Atxn2
649,Atxn2l
650,Atxn3
651,Atxn7
652,Atxn7l1
653,Atxn7l3
654,Atxn7l3b
655,Auh
656,Aup1
657,Aurkaip1
658,Aven
659,Avl9
660,Avpi1
661,Avpr1a
662,Axin1
663,Axin2
664,Azgp1
665,Azi2
666,Azin1
667,B2m
668,B3galnt2
669,B3galt1
670,B3gat3
671,B3gnt2
672,B4galnt1
673,B4galt1
674,B4galt5
675,B4gat1
676,Baat
677,Babam1
678,Babam2
679,Bace1
680,Bach1
681,Bad
682,Bag1
683,Bag3
684,Bag4
685,Bag5
686,Bag6
687,Bahd1
688,Baiap2
689,Baiap2l1
690,Banf1
691,Bap1
692,Bax
693,Baz1a
694,Baz1b
695,Baz2a
696,Baz2b
697,Bbc3
698,Bbip1
699,Bbof1
700,Bbox1
701,Bbs5
702,Bbx
703,Bcap29
704,Bcap31
705,Bcar1
706,Bcar3
707,Bcas2
708,Bcas3
709,Bccip
710,Bche
711,Bckdha
712,Bckdhb
713,Bckdk
714,Bcl10
715,Bcl2l1
716,Bcl2l11
717,Bcl2l13
718,Bcl2l2
719,Bcl3
720,Bcl6
721,Bcl7a
722,Bcl7b
723,Bcl7c
724,Bcl9l
725,Bclaf1
726,Bco1
727,Bco2
728,Bcor
729,Bcorl1
730,Bcr
731,Bcs1l
732,Bdh1
733,Bdh2
734,Bdp1
735,Becn1
736,Bend7
737,Bet1
738,Bfar
739,Bhlhe40
740,Bhmt
741,Bhmt2
742,Bicd2
743,Bicral
744,Bid
745,Bin1
746,Bin3
747,Birc2
748,Birc3
749,Birc6
750,Bivm
751,Blcap
752,Blmh
753,Bloc1s1
754,Bloc1s2
755,Bloc1s4
756,Bloc1s5
757,Bloc1s6
758,Blvra
759,Blvrb
760,Blzf1
761,Bmf
762,Bmi1
763,Bmp1
764,Bmp2k
765,Bmpr1a
766,Bmpr2
767,Bms1
768,Bmt2
769,Bnip1
770,Bnip2
771,Bnip3
772,Bnip3l
773,Bod1
774,Bod1l
775,Bok
776,Bola1
777,Bola2
778,Bola3
779,Bop1
780,Borcs5
781,Borcs6
782,Borcs7
783,Borcs8
784,Bpgm
785,Bphl
786,Bpnt1
787,Bptf
788,Braf
789,Brap
790,Brat1
791,Brcc3
792,Brd1
793,Brd2
794,Brd3
795,Brd4
796,Brd7
797,Brd8
798,Brd9
799,Brf1
800,Brf2
801,Bri3
802,Bri3bp
803,Brix1
804,Brk1
805,Brox
806,Brpf1
807,Brpf3
808,Brwd1
809,Brwd3
810,Bscl2
811,Bsdc1
812,Bsg
813,Bst2
814,Btaf1
815,Btbd1
816,Btbd2
817,Btbd6
818,Btbd7
819,Btbd9
820,Btc
821,Btd
822,Btf3
823,Btf3l4
824,Btg1
825,Btg2
826,Btrc
827,Bub3
828,Bud23
829,Bud31
830,Bysl
831,Bzw1
832,Bzw2
833,C1d
834,C1galt1
835,C1galt1c1
836,C1qb
837,C1qbp
838,C1qc
839,C1ra
840,C1rb
841,C1rl
842,C1s1
843,C1s2
844,C2cd2
845,C2cd2l
846,C2cd3
847,C3
848,C4b
849,C4bp
850,C6
851,C77080
852,C87436
853,C8a
854,C8b
855,C8g
856,C9
857,C9orf72
858,Cab39
859,Cab39l
860,Cabin1
861,Cables2
862,Cacfd1
863,Cactin
864,Cacul1
865,Cacybp
866,Cad
867,Cadm1
868,Cadps2
869,Calcoco1
870,Cald1
871,Calhm6
872,Calm1
873,Calm2
874,Calm3
875,Calr
876,Calu
877,Camk1
878,Camk1d
879,Camk2g
880,Camk2n1
881,Camkk2
882,Caml
883,Camsap1
884,Camsap2
885,Camsap3
886,Camta1
887,Camta2
888,Cand1
889,Cant1
890,Canx
891,Cap1
892,Capn1
893,Capn10
894,Capn15
895,Capn2
896,Capn7
897,Capns1
898,Caprin1
899,Capza1
900,Capza2
901,Capzb
902,Car1
903,Car14
904,Car2
905,Car3
